Provider CCN,Hospital Name,Fiscal Year Begin Date,Fiscal Year End Date,Number of Beds
110130,IRWIN COUNTY HOSPITAL,2022-12-01,2023-01-31,34
144042,LAKE BEHAVIORAL HOSPITAL,2022-10-01,2022-12-31,161
43036,EVEREST REHABILITATION HOSPITAL BENT,2023-01-01,2023-02-28,36
454155,OCEANS BEHAVIORAL HOSPITAL CORPUS CH,2022-11-17,2022-12-31,42
144043,MONTROSE BEHAVIORAL HEALTH HOSPITAL,2022-10-03,2022-12-31,
421303,WILLIAMSBURG REGIONAL HOSPITAL,2022-10-01,2023-01-16,25
83028,PAM REHAB HOSP OF GEORGETOWN,2023-01-27,2023-04-30,34
30077,SAN CARLOS APACHE HEALTHCARE CORP,2022-10-01,2023-01-09,12
313030,BACHARACH INSTITUTE FOR REHABILITATI,2023-01-01,2023-03-30,80
673073,EVEREST REHABILITATION HOSPITAL LONG,2023-01-01,2023-02-28,36
262017,SSH - SPRINGFIELD INC.,2022-11-01,2023-01-31,44
30153,EAST VALLEY ER AND HOSPITAL,2022-10-14,2023-01-31,14
360090,ST. LUKES HOSPITAL,2022-10-01,2023-05-08,83
450697,SOUTHWEST GENERAL HOSPITAL,2022-10-01,2023-04-30,193
673074,EVEREST REHABILITATION HOSPITAL TEMP,2023-01-01,2023-02-28,36
523030,REHABILITATION HOSPITAL OF WESTERN W,2023-03-29,2023-06-30,36
363045,EVEREST REHABILITATION HOSPITAL NORT,2023-01-01,2023-02-28,36
230110,COREWELL HEALTH LUDINGTON HOSPITAL,2023-01-01,2023-06-30,39
110028,UNIVERSITY HEALTH SERVICES  INC.,2023-01-01,2023-06-30,482
230078,LAKELAND COMMUNITY HOSP WATERVLIET,2023-01-01,2023-06-30,26
230093,COREWELL HEALTH BIG RAPIDS,2023-01-01,2023-06-30,49
340051,WATAUGA MEDICAL CENTER,2022-10-01,2023-06-30,121
341323,CHARLES A. CANNON MEMORIAL HOSPITAL,2022-10-01,2023-06-30,23
444032,EAST TENNESSEE BEHAVIORAL HEALTH,2022-11-15,2023-06-30,90
530034,SUMMIT MEDICAL CENTER  LLC,2023-01-01,2023-06-30,16
230003,COREWELL HEALTH ZEELAND,2023-01-01,2023-06-30,55
330163,EASTERN NIAGARA HOSPITAL,2023-01-01,2023-06-17,109
30010,CARONDELET ST. MARYS HOSPITAL,2022-10-01,2023-06-30,357
30011,CARONDELET ST. JOSEPH HOSPITAL,2022-10-01,2023-06-30,390
230230,EDWARD W. SPARROW HOSPITAL,2023-01-01,2023-06-30,441
230208,CARSON CITY HOSPITAL,2023-01-01,2023-06-30,48
390339,LANCASTER MEDICAL CENTER,2022-12-06,2023-06-30,100
460003,SALT LAKE REGIONAL MEDICAL CENTER,2023-05-01,2023-06-30,102
140167,IROQUOIS MEMORIAL HOSPITAL,2022-10-01,2023-07-16,25
500148,WENATCHEE VALLEY HOSPITAL,2023-01-01,2023-06-30,11
250172,DELTA HEALTH-HIGHLAND HILLS,2022-10-01,2023-04-30,15
344034,DOROTHEA DIX BEHAVIORAL HEALTH,2022-10-01,2023-06-30,37
510012,PLEASANT VALLEY HOSPITAL,2022-10-01,2023-09-30,43
364067,BLUESTONE CHILD AND ADOLESCENT PSYCH,2023-01-27,2023-06-30,
53045,SACRAMENTO REHABILITATION HOSPITAL L,2023-03-25,2023-04-30,50
250163,PATIENTS CHOICE MED CNT-SMITH CNTY,2023-01-01,2023-07-02,19
33045,REUNION REHABILITATION HOSPITAL PEOR,2023-04-15,2023-07-31,40
250043,NESHOBA COUNTY GENERAL HOSPITAL,2022-10-01,2023-09-30,38
50660,USC NORRIS CANCER HOSPITAL,2022-10-01,2023-09-30,60
14012,MARY S HARPER GERIATRIC PSYCH CEN,2022-10-01,2023-09-30,126
110161,NORTHSIDE HOSPITAL,2022-10-01,2023-09-30,673
130025,MADISON MEMORIAL HOSPITAL,2022-10-01,2023-09-30,53
370030,BLACKWELL REGIONAL HOSPITAL,2023-01-01,2023-06-30,34
523031,GREEN BAY REHABILITATION HOSPITAL,2023-05-05,2023-07-31,40
370139,PERRY MEMORIAL HOSPITAL,2023-01-01,2023-03-31,26
10051,GREENE COUNTY HOSPITAL,2022-10-01,2023-09-30,20
250018,JASPER GENERAL HOSPITAL,2022-10-01,2023-09-30,20
110111,UNIVERSITY HOSPITAL MCDUFFIE,2023-01-01,2023-06-30,25
420072,HAMPTON REGIONAL MEDICAL CENTER,2022-10-01,2023-09-30,32
373038,OKLAHOMA CITY REHABILITATION HOSPITA,2022-11-29,2023-08-31,40
140052,OSF SAINT ANTHONYS HEALTH CENTER,2022-10-01,2023-09-30,49
373037,TULSA REHABILITATION HOSPITAL,2022-10-18,2023-08-31,40
420067,BEAUFORT MEMORIAL HOSPITAL,2022-10-01,2023-09-30,167
450085,GRAHAM REGIONAL MEDICAL CENTER,2022-10-01,2023-08-03,25
31313,CARONDELET HOLY CROSS HOSPITAL,2022-10-01,2023-06-30,25
70031,THE GRIFFIN HOSPITAL,2022-10-01,2023-09-30,101
454156,VOYAGES OF SUGAR LAND BH,2023-02-01,2023-06-30,60
250060,JEFFERSON COUNTY HOSPITAL,2022-10-01,2023-05-31,12
180106,THE MEDICAL CENTER OF ALBANY,2023-04-01,2023-09-07,20
110189,FANNIN REGIONAL HOSPITAL,2023-01-01,2023-06-30,50
131302,NORTH CANYON MEDICAL CENTER,2022-10-01,2023-09-30,16
250097,SOUTHWEST MS REGIONAL MED CENTER,2022-10-01,2023-09-30,97
490115,TWIN COUNTY REGIONAL HOSPITAL,2022-10-01,2023-09-30,141
673071,ENCOMPASS HEALTH REHABILITATION HOSP,2022-10-01,2023-09-30,60
433027,ENCOMPASS HEALTH REHABILITATION HOSP,2022-10-01,2023-09-30,40
514011,HIGHLAND CLARKSBURG HOSPITAL INC,2022-10-01,2023-09-30,
10034,COMMUNITY HOSPITAL INC.,2022-10-01,2023-09-30,37
123025,REHABILITATION HOSPITAL OF THE PACIF,2022-10-01,2023-09-30,82
140110,OTTAWA REGIONAL HOSPITAL & HEALTHCAR,2022-10-01,2023-09-30,89
241376,GLACIAL RIDGE HOSPITAL,2022-10-01,2023-09-30,19
471301,GIFFORD MEDICAL CENTER,2022-10-01,2023-09-30,25
421301,ABBEVILLE AREA MEDICAL CENTER,2022-10-01,2023-09-30,25
490005,WINCHESTER MEDICAL CENTER,2022-10-01,2023-09-30,455
521348,VERNON MEMORIAL HOSPITAL,2022-10-01,2023-09-30,18
13301,USA CHILDRENS AND WOMENS HOSPITAL,2022-10-01,2023-09-30,245
110121,GRADY GENERAL HOSPITAL,2022-10-01,2023-09-30,44
111331,MITCHELL COUNTY HOSPITAL,2022-10-01,2023-09-30,25
170150,SOUTH CENTRAL KS REGIONAL MEDICAL CT,2023-01-01,2023-08-25,32
340008,SCOTLAND MEMORIAL HOSPITAL,2022-10-01,2023-09-30,104
490033,WARREN MEMORIAL HOSPITAL,2022-10-01,2023-09-30,36
673038,MEMORIAL HERMANN REHAB HOSP KATY,2022-10-01,2023-09-30,35
30138,WESTERN REGIONAL MEDICAL CENTER,2022-10-01,2023-09-30,38
110038,JOHN D. ARCHBOLD MEMORIAL HOSPITAL,2022-10-01,2023-09-30,199
130071,ST. LUKES NAMPA MEDICAL CENTER,2022-10-01,2023-09-30,87
201312,WALDO COUNTY GENERAL HOSPITAL,2022-10-01,2023-09-30,25
340068,COLUMBUS REGIONAL HEALTHCARE SYSTEM,2022-10-01,2023-09-30,154
421304,EDGEFIELD COUNTY HEALTHCARE,2022-10-01,2023-09-30,25
10021,DALE MEDICAL CENTER,2022-10-01,2023-09-30,77
14014,BAYPOINTE BEHAVIORAL HEALTH,2022-10-01,2023-09-30,
50169,PIH HEALTH WHITTIER HOSPITAL,2022-10-01,2023-09-30,405
50393,PIH HEALTH HOSPITAL - DOWNEY,2022-10-01,2023-09-30,133
110233,SOUTHEASTERN REGIONAL MEDICAL CENTER,2022-10-01,2023-09-30,50
200021,MID COAST HOSPITAL,2022-10-01,2023-09-30,93
220084,EMERSON HOSPITAL,2022-10-01,2023-09-30,111
250100,BAPTIST MEM HOSPITAL GOLDEN TRIANGLE,2022-10-01,2023-09-30,146
301303,WEEKS MEDICAL CENTER,2022-10-01,2023-09-30,25
340024,SAMPSON REGIONAL MEDICAL CENTER,2022-10-01,2023-09-30,67
340070,ALAMANCE REGIONAL MEDICAL CENTER,2022-10-01,2023-09-30,176
340142,CARTERET COUNTY GENERAL HOSPITAL COM,2022-10-01,2023-09-30,99
461310,BLUE MOUNTAIN HOSPITAL,2022-10-01,2023-09-30,11
491302,CARILION GILES COMMUNITY HOSPITAL,2022-10-01,2023-09-30,25
491304,CARILION ROCKBRIDGE COMMUNITY HOSP,2022-10-01,2023-09-30,25
70021,WINDHAM COMMUNITY MEMORIAL HOSPITAL,2022-10-01,2023-09-30,46
100022,JACKSON MEMORIAL,2022-10-01,2023-09-30,1608
100087,SARASOTA MEMORIAL HOSPITAL,2022-10-01,2023-09-30,786
140100,MIDWESTERN REGIONAL MEDICAL CENTER,2022-10-01,2023-09-30,73
190065,BATON ROUGE GENERAL,2022-10-01,2023-09-30,256
190111,WILLIS-KNIGHTON HEALTH SYSTEMS,2022-10-01,2023-09-30,674
201302,LINCOLNHEALTH,2022-10-01,2023-09-30,25
220135,FALMOUTH HOSPITAL,2022-10-01,2023-09-30,81
250104,JEFF ANDERSON REGIONAL MEDICAL CENTE,2022-10-01,2023-09-30,270
251304,TALLAHATCHIE CRITICAL ACCESS HOSPITA,2022-10-01,2023-09-30,18
301307,MEMORIAL HOSPITAL,2022-10-01,2023-09-30,25
301310,ANDROSCOGGIN VALLEY HOSPITAL,2022-10-01,2023-09-30,25
380005,ASHLAND COMMUNITY HOSPITAL,2022-10-01,2023-09-30,41
470012,SOUTHWESTERN VERMONT MEDICAL CENTER,2022-10-01,2023-09-30,53
521343,STOUGHTON HOSPITAL ASSOCIATION,2022-10-01,2023-09-30,20
521347,WESTERN WISCONSIN HEALTH,2022-10-01,2023-09-30,25
40119,WHITE RIVER MEDICAL CENTER,2022-10-01,2023-09-30,170
41332,UNITY HEALTH - NEWPORT,2022-10-01,2023-09-30,24
100051,ORLANDO HEALTH SOUTH LAKE HOSPITAL,2022-10-01,2023-09-30,172
101311,MADISON MEMORIAL HOSPITAL,2022-10-01,2023-09-30,25
110001,HAMILTON MEDICAL CENTER,2022-10-01,2023-09-30,239
110005,NORTHSIDE HOSPITAL FORSYTH,2022-10-01,2023-09-30,376
110008,NORTHSIDE HOSPITAL-CHEROKEE  INC.,2022-10-01,2023-09-30,325
110029,NORTHEAST GEORGIA MEDICAL CENTER,2022-10-01,2023-09-30,657
110032,STEPHENS COUNTY HOSPITAL,2022-10-01,2023-09-30,40
110045,NGMC BARROW,2022-10-01,2023-09-30,38
110087,NORTHSIDE HOSPITAL - GWINNETT,2022-10-01,2023-09-30,440
110092,DODGE COUNTY HOSPITAL,2022-10-01,2023-09-30,41
110095,TIFT REGIONAL MEDICAL CENTER,2022-10-01,2023-09-30,181
110105,COLQUITT REGIONAL MEDICAL CENTER,2022-10-01,2023-09-30,100
110122,SOUTH GEORGIA MEDICAL CENTER,2022-10-01,2023-09-30,261
141310,MENDOTA COMMUNITY HOSPITAL,2022-10-01,2023-09-30,25
190151,RICHLAND PARISH HOSPITAL SERVICE DIS,2022-10-01,2023-09-30,38
191315,HARDTNER MEDICAL CENTER,2022-10-01,2023-09-30,25
201315,STEPHENS MEMORIAL HOSPITAL - CAH,2022-10-01,2023-09-30,25
251325,COVINGTON COUNTY HOSPITAL,2022-10-01,2023-09-30,25
331302,ELIZABETHTOWN COMMUNITY HOSPITAL,2022-10-01,2023-09-30,25
371301,PRAGUE COMMUNITY HOSPITAL,2022-10-01,2023-09-30,25
371309,PAWHUSKA HOSPITAL  INC.,2022-10-01,2023-09-30,25
450104,GUADALUPE REGIONAL MEDICAL CENTER,2022-10-01,2023-09-30,117
450137,BAYLOR S&W ALL SAINTS MEDICAL CENTER,2022-10-01,2023-09-30,451
450399,BROWNFIELD REGIONAL MEDICAL CENTER,2022-10-01,2023-09-30,26
450465,MATAGORDA REGIONAL MEDICAL CENTER,2022-10-01,2023-09-30,45
521316,TRI-COUNTY MEMORIAL HOSPITAL  INC.,2023-01-01,2023-09-30,25
10005,MARSHALL MEDICAL CENTERS SOUTH,2022-10-01,2023-09-30,182
10018,CALLAHAN EYE FOUNDATION HOSP,2022-10-01,2023-09-30,6
10029,EAST ALABAMA MEDICAL CENTER,2022-10-01,2023-09-30,265
10033,UNIVERSITY OF ALABAMA HOSPITAL,2022-10-01,2023-09-30,1149
10040,GADSDEN REGIONAL MEDICAL CENTER,2022-10-01,2023-09-30,175
10045,FAYETTE MEDICAL CENTER,2022-10-01,2023-09-30,35
10055,FLOWERS HOSPITAL,2022-10-01,2023-09-30,194
10062,WIREGRASS MEDICAL CENTER,2022-10-01,2023-09-30,33
10073,CLAY COUNTY HOSPITAL,2022-10-01,2023-09-30,46
10092,DCH REGIONAL MEDICAL CENTER,2022-10-01,2023-09-30,398
10095,HALE COUNTY HOSPITAL,2022-10-01,2023-09-30,28
10099,D W MCMILLAN MEMORIAL HOSPITAL,2022-10-01,2023-09-30,46
10102,JOHN PAUL JONES HOSPITAL,2022-10-01,2023-09-30,21
10112,WHITFIELD REGIONAL HOSPITAL,2022-10-01,2023-09-30,47
41307,CROSSRIDGE COMMUNITY HOSPITAL,2022-10-01,2023-09-30,15
50503,SCRIPPS MEMORIAL HOSPITAL-ENCINITAS,2022-10-01,2023-09-30,177
74008,NATCHAUG HOSPITAL,2022-10-01,2023-09-30,59
100019,HOLMES REGL MEDICAL CENTER,2022-10-01,2023-09-30,550
100177,CAPE CANAVERAL HOSPITAL INC,2022-10-01,2023-09-30,150
103026,ST CATHERINES REHAB HOSPITAL,2022-10-01,2023-09-30,60
131322,FRANKLIN COUNTY MEDICAL CENTER,2022-10-01,2023-09-30,20
131323,ST. LUKES WOOD RIVER MEDICAL CENTER,2022-10-01,2023-09-30,25
250085,MARION GENERAL HOSPITAL,2022-10-01,2023-09-30,49
251308,PONTOTOC HEALTH SERVICES,2022-10-01,2023-09-30,25
251309,FIELD MEMORIAL COMMUNITY HOSPITAL,2022-10-01,2023-09-30,16
251334,CHOCTAW REGIONAL MEDICAL CENTER,2022-10-01,2023-09-30,15
301302,LITTLETON REGIONAL HEALTHCARE,2022-10-01,2023-09-30,25
341327,J ARTHUR DOSHER MEMORIAL HOSPITAL,2022-10-01,2023-09-30,25
380018,ROGUE REGIONAL MEDICAL CENTER,2022-10-01,2023-09-30,322
440033,LAFOLLETTE MEDICAL CENTER,2022-10-01,2023-09-30,48
440035,TENNOVA HEALTHCARE CLARKSVILLE,2022-10-01,2023-09-30,250
440048,BAPTIST MEM HOSPITAL MEMPHIS,2022-10-01,2023-09-30,800
440056,JEFFERSON MEMORIAL HOSPITAL,2022-10-01,2023-09-30,56
440130,BAPTIST MEM HOSPITAL UNION CITY,2022-10-01,2023-09-30,43
440153,NEWPORT MEDICAL CENTER,2022-10-01,2023-09-30,32
441301,TROUSDALE MEDICAL CENTER,2022-10-01,2023-09-30,25
441305,MACON COUNTY GENERAL HOSPITAL,2022-10-01,2023-09-30,25
442010,BAPTIST MEM RESTORATIVE CARE HOSP.,2022-10-01,2023-09-30,30
451309,MCCAMEY COUNTY HOSPITAL DISTRICT,2022-10-01,2023-09-30,13
451314,MEMORIAL HOSPITAL,2022-10-01,2023-09-30,16
480002,GOV. JUAN F. LUIS HOSPITAL,2022-10-01,2023-09-30,66
10114,UAB MEDICAL WEST,2022-10-01,2023-09-30,204
10169,ATMORE COMMUNITY HOSPITAL,2022-10-01,2023-09-30,49
10175,EAMC-LANIER,2022-10-01,2023-09-30,12
11300,WASHINGTON COUNTY HOSPITAL,2022-10-01,2023-09-30,15
11302,RED BAY HOSPITAL,2022-10-01,2023-09-30,25
31320,SAN CARLOS APACHE HEALTHCARE CORP,2023-01-10,2023-09-30,8
40047,FIVE RIVERS MEDICAL CENTER,2022-10-01,2023-08-31,28
100134,ED FRASER MEMORIAL HOSPITAL,2022-10-01,2023-09-30,21
100135,TALLAHASSEE MEMORIAL HOSPITAL,2022-10-01,2023-09-30,478
100175,DESOTO MEMORIAL HOSPITAL,2022-10-01,2023-09-30,49
100253,JUPITER MEDICAL CENTER,2022-10-01,2023-09-30,242
100302,ST. CLOUD REGIONAL MEDICAL CENTER,2022-10-01,2023-09-30,84
100315,VIERA HOSPITAL INC,2022-10-01,2023-09-30,84
100359,SARASOTA MEMORIAL HOSPITAL VENICE,2022-10-01,2023-09-30,110
110142,EVANS MEMORIAL HOSPITAL,2022-10-01,2023-09-30,49
110234,SGMC BERRIEN CAMPUS,2022-10-01,2023-09-30,10
110237,NGMC LUMPKIN  LLC,2022-10-01,2023-09-30,23
110252,NORTHSIDE HOSPITAL - DULUTH,2022-10-01,2023-09-30,94
111303,JASPER MEMORIAL HOSPITAL,2022-10-01,2023-09-30,12
111313,PUTNAM GENERAL HOSPITAL,2022-10-01,2023-09-30,25
111318,MONROE COUNTY HOSPITAL,2022-10-01,2023-09-30,25
140179,LITTLE COMPANY OF MARY,2022-10-01,2023-09-30,222
141337,OSF SAINT CLARE MEDICAL CENTER,2022-10-01,2023-09-30,25
180043,ADVENTHEALTH MANCHESTER,2022-10-01,2023-09-30,49
250004,NORTH MISSISSIPPI MEDICAL CENTER,2022-10-01,2023-09-30,476
250067,CLAY COUNTY MEDICAL CORPORATION,2022-10-01,2023-09-30,49
271329,MADISON VALLEY MEDICAL CENTER,2022-10-01,2023-09-30,10
300005,CONCORD HOSPITAL - LACONIA,2022-10-01,2023-09-30,86
300023,EXETER HOSPITAL  INC.,2022-10-01,2023-09-30,99
320018,MEMORIAL MEDICAL CENTER,2022-10-01,2023-09-30,199
341320,ALLEGHANY MEMORIAL HOSPITAL,2022-10-01,2023-09-30,25
370166,WAGONER HOSPITAL AUTHORITY,2022-10-01,2023-09-30,100
450080,TITUS REGIONAL MEDICAL CENTER,2022-10-01,2023-09-30,49
450565,PALO PINTO GENERAL HOSPITAL,2022-10-01,2023-09-30,48
450597,CUERO COMMUNITY HOSPITAL,2022-10-01,2023-09-30,44
451310,BALLINGER MEMORIAL HOSPITAL,2022-10-01,2023-09-30,16
451351,LYNN COUNTY HOSPITAL,2022-10-01,2023-09-30,24
470005,RUTLAND REGIONAL MEDICAL CENTER,2022-10-01,2023-09-30,142
21305,WRANGELL MEDICAL CENTER,2022-10-01,2023-09-30,8
50077,SCRIPPS MERCY HOSPITAL,2022-10-01,2023-09-30,487
70011,CHARLOTTE HUNGERFORD HOSPITAL,2022-10-01,2023-09-30,108
131304,POWER COUNTY HOSPITAL DISTRICT,2022-10-01,2023-09-30,10
140206,NORWEGIAN AMERICAN HOSPITAL,2022-10-01,2023-09-30,173
140213,SILVER CROSS HOSPITAL,2022-10-01,2023-09-30,320
141339,TAYLORVILLE MEMORIAL HOSPITAL,2022-10-01,2023-09-30,25
180024,SPRING VIEW HOSPITAL,2022-10-01,2023-09-30,63
180048,EPHRAIM MCDOWELL REG MED CTR,2022-10-01,2023-09-30,157
181306,DEACONNESS UNION COUNTY HOSPITAL,2022-10-01,2023-09-30,25
200041,INLAND HOSPITAL,2022-10-01,2023-09-30,33
220002,MOUNT AUBURN HOSPITAL,2022-10-01,2023-09-30,189
220012,CAPE COD HOSPITAL,2022-10-01,2023-09-30,239
220049,MARLBOROUGH HOSPITAL,2022-10-01,2023-09-30,67
220052,BROCKTON HOSPITAL  INC.,2022-10-01,2023-09-30,175
220108,BIDMC-MILTON HOSPITAL  INC,2022-10-01,2023-09-30,102
220116,TUFTS MEDICAL CENTER,2022-10-01,2023-09-30,364
220171,LAHEY CLINIC HOSPITAL  INC.,2022-10-01,2023-09-30,344
221300,MARTHAS VINEYARD HOSPITAL,2022-10-01,2023-09-30,25
221303,ATHOL MEMORIAL HOSPITAL,2022-10-01,2023-09-30,21
241335,ST. ELIZABETH HOSP. OF WABASHA  INC.,2023-01-01,2023-09-30,14
281334,BOONE COUNTY HEALTH CENTER,2022-10-01,2023-09-30,25
300001,CONCORD HOSPITAL  INC.,2022-10-01,2023-09-30,206
301301,COTTAGE HOSPITAL,2022-10-01,2023-09-30,25
330049,NORTHERN DUTCHESS HOSPITAL,2022-10-01,2023-09-30,79
330084,ALICE HYDE MEDICAL CENTER,2022-10-01,2023-09-30,36
330250,CHAMPLAIN VALLEY PHYSICIANS HOSPITAL,2022-10-01,2023-09-30,286
330273,PUTNAM HOSPITAL CENTER,2022-10-01,2023-09-30,88
360147,MARIETTA MEMORIAL HOSPITAL,2022-10-01,2023-09-30,188
361319,SELBY GENERAL HOSPITAL,2022-10-01,2023-09-30,25
364047,RIDGEVIEW HOSPITAL,2022-10-01,2023-09-30,84
410008,SOUTH COUNTY HOSPITAL,2022-10-01,2023-09-30,79
521359,MEMORIAL MEDICAL CENTER  INC.,2022-10-01,2023-09-30,25
10058,BIBB MEDICAL CENTER,2022-10-01,2023-09-30,25
21310,MANIILAQ HEALTH CENTER,2022-10-01,2023-09-30,17
50471,PIH HEALTH GOOD SAMARITAN HOSPITAL,2022-10-01,2023-09-30,308
50696,KECK HOSPITAL OF USC,2022-10-01,2023-09-30,314
51336,MEE MEMORIAL HOSPITAL,2022-10-01,2023-09-30,13
70024,THE WILLIAM W. BACKUS HOSPITAL,2022-10-01,2023-09-30,187
100018,NAPLES COMMUNITY HOSPITAL,2022-10-01,2023-09-30,517
140135,DECATUR MEMORIAL HOSPITAL,2022-10-01,2023-09-30,178
140148,SPRINGFIELD MEMORIAL HOSPITAL,2022-10-01,2023-09-30,407
141315,BCC DBA ILLINI COMMUNITY HOSPITAL,2022-10-01,2023-09-30,25
200037,FRANKLIN MEMORIAL HOSPITAL,2022-10-01,2023-09-30,41
200050,MAINE COAST MEMORIAL HOSPITAL,2022-10-01,2023-09-30,45
200052,NORTHERN MAINE MEDICAL CENTER,2022-10-01,2023-09-30,40
201308,HOULTON REGIONAL HOSPITAL,2022-10-01,2023-09-30,25
220001,HEALTHALLIANCE-CLINTON,2022-10-01,2023-09-30,125
220088,NEW ENGLAND BAPTIST HOSPITAL,2022-10-01,2023-09-30,75
250006,BAPTIST MEM HOSPITAL UNION COUNTY,2022-10-01,2023-09-30,83
250034,BAPTIST MEM HOSPITAL NORTH MISS,2022-10-01,2023-09-30,190
250044,BAPTIST MEM HOSPITAL BOONEVILLE,2022-10-01,2023-09-30,21
250084,NATCHEZ REGIONAL MEDICAL CENTER,2022-10-01,2023-09-30,131
250141,BAPTIST MEM HOSPITAL DESOTO,2022-10-01,2023-09-30,298
251318,NORTH SUNFLOWER COUNTY HOSPITAL,2022-10-01,2023-09-30,25
340188,CAPE FEAR VALLEY HOKE HOSPITAL,2022-10-01,2023-09-30,37
341303,FIRSTHEALTH MONTGOMERY MEMORIAL CAH,2022-10-01,2023-09-30,3
341304,EAST CAROLINA HEALTH-BERTIE,2022-10-01,2023-09-30,6
341315,BLADEN COUNTY HOSPITAL,2022-10-01,2023-09-30,25
341318,EAST CAROLINA HEALTH - CHOWAN INC,2022-10-01,2023-09-30,25
341324,THE OUTER BANKS HOSPITAL INC,2022-10-01,2023-09-30,21
420007,SPARTANBURG REGIONAL MEDICAL CENTER,2022-10-01,2023-09-30,626
420009,OCONEE MEMORIAL HOSPITAL,2022-10-01,2023-09-30,131
420015,PH BAPTIST EASLEY HOSPITAL,2022-10-01,2023-09-30,74
420018,PRISMA HEALTH RICHLAND HOSPITAL,2022-10-01,2023-09-30,575
420106,PH BAPTIST PARKRIDGE HOSPITAL,2022-10-01,2023-09-30,76
420108,UNION MEDICAL CENTER,2022-10-01,2023-09-30,15
422006,CONTINUECARE HOSP AT PALMETTO HEALTH,2022-10-01,2023-09-30,35
422008,PH N GREENVILLE LT ACUTE CARE HOSP,2022-10-01,2023-09-30,44
440016,BAPTIST MEM HOSPITAL HUNTINGDON,2022-10-01,2023-09-30,46
493036,SHELTERING ARMS INSTITUTE,2022-10-01,2023-09-30,114
511304,SISTERSVILLE GENERAL HOSPITAL,2022-10-01,2023-09-30,6
511306,ROANE GENERAL HOSPITAL,2022-10-01,2023-09-30,25
520008,WAUKESHA MEMORIAL HOSPITAL,2022-10-01,2023-09-30,265
520062,OCONOMOWOC MEMORIAL HOSPITAL,2022-10-01,2023-09-30,63
520087,GUNDERSEN LUTHERAN MEDICAL CENTER  I,2023-01-01,2023-09-30,260
520109,MILE BLUFF MEDICAL CENTER  INC.,2022-10-01,2023-09-30,40
10001,SOUTHEAST HEALTH MEDICAL CENTER,2022-10-01,2023-09-30,345
10044,MARION REGIONAL MEDICAL CENTER,2022-10-01,2023-09-30,36
70004,SHARON HOSPITAL,2022-10-01,2023-09-30,50
70006,THE STAMFORD HOSPITAL,2022-10-01,2023-09-30,288
70008,JOHNSON MEMORIAL HOSPITAL  INC.,2022-10-01,2023-09-30,44
70016,ST. MARYS HOSPITAL,2022-10-01,2023-09-30,146
70029,BRISTOL HOSPITAL  INC,2022-10-01,2023-09-30,123
70034,NORWALK HOSPITAL,2022-10-01,2023-09-30,186
90008,NOT-FOR-PROFIT HOSPITAL CORPORATION,2022-10-01,2023-09-30,126
100316,PALM BAY HOSPITAL,2022-10-01,2023-09-30,120
141317,GIBSON AREA HOSPITAL AND HEALTH SVCS,2022-10-01,2023-09-30,25
191322,OCHSNER - ABROM KAPLAN MH,2022-10-01,2023-09-30,25
200019,SOUTHERN MAINE HEALTH CARE,2022-10-01,2023-09-30,140
220029,ANNA JAQUES HOSPITAL,2022-10-01,2023-09-30,116
220033,BEVERLY HOSPITAL,2022-10-01,2023-09-30,299
220060,BETH ISRAEL DEACONESS - PLYMOUTH,2022-10-01,2023-09-30,151
220063,LOWELL GENERAL HOSPITAL,2022-10-01,2023-09-30,390
220070,MELROSEWAKEFIELD HEALTHCARE  INC,2022-10-01,2023-09-30,160
220083,BETH ISRAEL DEACONESS HOSPITAL- NEED,2022-10-01,2023-09-30,58
241341,APPLETON MUNICIPAL HOSPITAL,2022-10-01,2023-09-30,15
241364,COMMUNITY MEMORIAL HOSPITAL,2022-10-01,2023-09-30,22
340003,NORTHERN HOSP OF SURRY CO,2022-10-01,2023-09-30,100
340028,CAPE FEAR VALLEY MEDICAL CENTER,2022-10-01,2023-09-30,675
340039,IREDELL MEMORIAL HOSPITAL,2022-10-01,2023-09-30,155
340042,ONSLOW MEMORIAL HOSPITAL,2022-10-01,2023-09-30,162
340097,HUGH CHATHAM MEMORIAL HOSPITAL,2022-10-01,2023-09-30,81
340099,EAST CAROLINA HEALTH,2022-10-01,2023-09-30,52
340120,DUPLIN GENERAL HOSPITAL INCORPORATED,2022-10-01,2023-09-30,49
340151,HALIFAX REGIONAL MEDICAL CENTER INC,2022-10-01,2023-09-30,100
340173,WAKE MED CARY HOSPITAL,2022-10-01,2023-09-30,222
351307,ST ANDREWS HEALTH CENTER,2022-10-01,2023-09-30,25
380002,THREE RIVERS MEDICAL CENTER,2022-10-01,2023-09-30,126
420033,PH GREER MEMORIAL HOSPITAL,2022-10-01,2023-09-30,74
420037,PH HILLCREST HOSPITAL,2022-10-01,2023-09-30,43
420070,PRISMA HEALTH TUOMEY HOSPITAL,2022-10-01,2023-09-30,161
420086,PRISMA HEALTH BAPTIST HOSPITAL,2022-10-01,2023-09-30,231
420102,PH PATEWOOD HOSPITAL,2022-10-01,2023-09-30,64
420103,PELHAM MEDICAL CENTER,2022-10-01,2023-09-30,48
450144,PERMIAN REGIONAL MEDICAL CENTER,2022-10-01,2023-09-30,35
451303,LIMESTONE MEDICAL CENTER,2022-10-01,2023-09-30,20
471303,NORTHEASTERN VT REGIONAL HOSPITAL,2022-10-01,2023-09-30,25
