Provider CCN,Hospital Name,Fiscal Year Begin Date,Fiscal Year End Date,Number of Beds
100088,BAPTIST MEDICAL CENTER,2022-10-01,2023-09-30,981
191302,ST MARTIN HOSPITAL,2022-10-01,2023-09-30,25
342017,ASHEVILLE SPECIALTY HOSPITAL  LLC,2022-10-01,2023-09-30,34
363302,RAINBOW BABIES & CHILDRENS HOSPITA,2023-01-01,2023-12-31,286
424002,LIGHTHOUSE CARE CENTER OF CONWAY,2023-01-01,2023-12-31,105
70017,MIDSTATE MEDICAL CENTER,2022-10-01,2023-09-30,143
141318,OSF HOLY FAMILY MED CTR,2022-10-01,2023-09-30,15
144009,RIVEREDGE HOSPITAL,2023-01-01,2023-12-31,200
440073,MAURY REGIONAL HOSPITAL,2023-07-01,2024-06-30,244
450064,TEXAS HEALTH ARLINGTON MEMORIAL HOSP,2023-01-01,2023-12-31,192
670143,ASCENSION SETON BASTROP,2023-07-01,2024-09-30,7
34021,ARIZONA STATE HOSPITAL,2023-07-01,2024-06-30,159
190256,DOCTORS HOSPITAL OF SLIDELL LLC,2023-01-01,2023-12-31,10
450508,NACOGDOCHES MEMORIAL HOSP,2023-07-01,2024-03-10,160
450617,CLEAR LAKE REG MED CTR,2023-01-01,2023-12-31,528
451330,MEDINA REGIONAL HOSPITAL,2022-10-01,2023-09-30,25
10007,MIZELL MEMORIAL HOSPITAL,2022-10-01,2023-09-30,45
21312,SAMUEL SIMMONDS MEMORIAL HOSPITAL,2022-10-01,2023-09-30,10
50481,WEST HILLS HOSPITAL,2023-01-01,2023-12-31,214
51321,HEALDSBURG HOSPITAL,2023-07-01,2024-06-30,25
51991,BROADVIEW  INC.,2023-07-01,2024-06-30,19
54147,JOYCE EISENBERG KEEFER MEDICAL CENTE,2023-09-01,2024-08-31,10
80004,BAYHEALTH HOSPITAL  KENT CAMPUS,2023-07-01,2024-06-30,279
80009,BAYHEALTH HOSPITAL  SUSSEX CAMPUS,2023-07-01,2024-06-30,117
101303,LAKE BUTLER HOSPITAL,2023-01-01,2023-12-31,25
104018,LIFESTREAM BEHAVIORAL CENTER,2023-07-01,2024-06-30,66
104057,SPRINGBROOK HOSPITAL,2022-10-01,2023-09-30,66
110177,DOCTORS HOSPITAL OF AUGUSTA,2023-04-01,2024-03-31,291
141344,LAWRENCE COUNTY MEMORIAL HOSPITAL,2023-07-01,2024-06-30,25
141348,RED BUD REGIONAL HOSPITAL,2023-01-14,2023-09-30,25
152028,VIBRA HOSPITAL OF NORTHWEST INDIANA,2022-11-01,2023-10-31,40
154061,RIVERCREST SPECIALTY HOSPITAL  LLC,2023-01-01,2023-12-31,47
154063,NEUROPSYCHIATRIC HOSPITAL OF INDIANA,2023-01-01,2023-12-31,50
154064,ASSURANCE HEALTH INDIANAPOLIS,2023-01-01,2023-12-31,43
174020,COTTONWOOD SPRINGS,2023-01-01,2023-12-31,72
204005,SPRING HARBOR HOSPITAL,2022-10-01,2023-09-30,89
224044,AURORA WESTBOROUGH BHS,2023-01-01,2023-12-31,104
234025,CARO CENTER,2022-10-01,2023-09-30,200
234026,KALAMAZOO PSYCHIATRIC HOSPITAL,2022-10-01,2023-09-30,119
234044,BRIGHTWELL BEHAVIORAL HEALTH,2023-01-01,2023-12-31,23
241345,MAYO CLINIC HEALTH SYSTEM - WASECA,2023-01-01,2023-12-31,15
310113,SOUTHERN OCEAN MEDICAL CENTER,2023-01-01,2023-12-31,156
340051,WATAUGA MEDICAL CENTER,2023-07-01,2024-06-30,121
341323,CHARLES A. CANNON MEMORIAL HOSPITAL,2023-07-01,2024-06-30,23
360039,GENESIS HEALTHCARE SYSTEM,2023-01-01,2023-12-31,277
361318,FOSTORIA COMMUNITY HOSPITAL,2023-01-01,2023-12-31,19
364029,LAURELWOOD HOSPITAL,2023-01-01,2023-12-31,159
390100,LANCASTER GENERAL HOSPITAL,2023-07-01,2024-06-30,620
394014,WERNERSVILLE STATE HOSPITAL,2023-07-01,2024-06-30,266
400136,HOSPITAL SAN ANTONIO INC,2023-09-01,2024-08-31,
450135,TX HLTH HARRIS METHODIST HOSPITAL,2022-10-01,2023-09-30,720
450237,SANTA ROSA HEALTHCARE,2023-07-01,2024-06-30,387
451359,OCHILTREE GENERAL HOSPITAL,2022-10-01,2023-09-30,25
451372,MULESHOE AREA MEDICAL CENTER,2022-10-01,2023-09-30,25
454064,RIVER CREST HOSPITAL,2023-01-01,2023-12-31,80
492010,CENTRA SPECIALTY HOSPITAL,2023-01-01,2023-12-31,36
100034,MOUNT SINAI MEDICAL CENTER OF FLORID,2023-01-01,2023-12-31,481
150012,ST. JOSEPHS REG MED CENTER S. BEND,2023-07-01,2024-06-30,253
241353,CUYUNA REGIONAL MEDICAL CENTER,2023-04-01,2024-03-31,25
250081,ANDERSON REGIONAL MED CTR-SOUTH CAMP,2022-10-01,2023-09-30,33
300029,PORTSMOUTH REGIONAL HOSPITAL,2023-03-01,2024-02-29,177
334026,BRUNSWICK HOSPITAL CENTER INC,2023-01-01,2023-12-31,146
521344,MEMORIAL HOSPITAL OF BOSCOBEL,2023-01-01,2023-09-30,25
144035,LINDEN OAKS HOSPITAL,2023-01-01,2023-12-31,110
191303,OUR LADY OF THE LAKE ASSUMPTION COM,2023-07-01,2023-08-02,
330106,NORTH SHORE UNIVERSITY HOSPITAL,2023-01-01,2023-12-31,782
340087,THE MCDOWELL HOSPITAL,2023-02-01,2024-01-31,33
34026,UBH OF PHOENIX  LLC DBA VALLEY HSP,2023-01-01,2023-12-31,122
53308,HEALTHBRIDGE CHILDRENS ACUTE,2023-09-01,2024-08-31,
54083,KEDREN COMMUNITY MENTAL HEALTH,2023-07-01,2024-06-30,
73025,MOUNT SINAI REHABILITATION HOSPTIAL,2022-10-01,2023-09-30,60
140234,ST. MARGARETS HEALTH - PERU,2022-10-01,2023-08-10,49
141302,MIDWEST MEDICAL CENTER,2022-10-01,2023-09-30,25
424010,CAROLINA CENTER,2023-01-01,2023-12-31,156
454088,RIO GRANDE STATE CENTER,2023-09-01,2024-08-31,55
670125,TEXAS CENTER FOR INFECTIOUS DISEASE,2023-09-01,2024-08-31,50
162003,SSH - DES MOINES,2023-01-01,2023-12-31,30
171331,KIOWA DISTRICT HOSPITAL,2023-01-01,2023-12-31,10
241338,MAYO CLNIC HEALTH SYSTEM - LAKE CITY,2023-01-01,2023-12-31,18
351306,COOPERSTOWN MEDICAL CENTER,2023-07-01,2024-06-30,9
441310,RHEA MEDICAL CENTER,2023-07-01,2024-06-30,25
100131,HCA FLORIDA AVENTURA HOSPITAL,2023-01-01,2023-12-31,345
130066,NORTHWEST SPECIALTY HOSPITAL,2023-01-01,2023-12-31,31
230279,ST. JOHN BRIGHTON,2023-07-01,2024-06-30,99
260183,SAINT FRANCIS MEDICAL CENTER,2023-07-01,2024-06-30,282
264030,SIGNATURE PSYCH HOSPITAL,2023-01-01,2023-12-31,92
291303,BATTLE MOUNTAIN GENERAL HOSPITAL,2023-07-01,2024-06-30,5
450604,HILL COUNTRY MEMORIAL HOSPITAL,2023-01-01,2023-03-31,57
454009,RUSK STATE HOSPITAL,2023-09-01,2024-08-31,290
520045,THEDACARE REGIONAL MEDICAL CENTER -,2023-01-01,2023-12-31,147
650001,GUAM MEMORIAL HOSPITAL,2022-10-01,2023-09-30,161
62012,PAM SPECIALTY HOSPITAL OF DENVER,2023-09-01,2024-08-31,63
100189,HCA FLORIDA NORTHWEST HOSPITAL,2023-01-01,2023-12-31,289
100209,HCA FLORIDA KENDALL HOSPITAL,2023-01-01,2023-12-31,424
100228,HCA FLORIDA WESTSIDE HOSPITAL,2023-02-01,2024-01-31,250
171309,JEWELL COUNTY HOSPITAL,2023-01-01,2023-12-31,25
450634,MEDICAL CITY DENTON,2023-01-01,2023-12-31,184
452060,KPC PROMISE HOSPITAL OF AMARILLO LLC,2023-09-01,2024-05-18,54
670131,BAYLOR SCOTT & WHITE - BUDA,2023-09-01,2024-08-31,15
90011,WASHINGTON HOSPITAL CENTER,2023-07-01,2024-06-30,719
141322,LINCOLN MEMORIAL HOSPITAL,2022-10-01,2023-09-30,25
164006,EAGLE VIEW BEHAVIORAL HEALTH,2023-01-01,2023-12-31,72
171334,MEDICINE LODGE MEMORIAL HOSPITAL,2023-01-01,2023-12-31,22
192041,ZACHARY-AMG SPECIALTY HOSPITAL,2023-01-01,2023-12-31,16
251324,WALTHALL COUNTY GENERAL HOSPITAL,2022-10-01,2023-09-30,25
421300,ALLENDALE COUNTY HOSPITAL,2022-10-01,2023-09-30,25
492008,SSH - HAMPTON ROADS,2023-01-01,2023-12-31,25
100204,HCA FLORIDA NORTH FLORIDA HOSP,2023-03-01,2024-02-29,472
192007,BRIDGEPOINT CONTINUING CARE HOSPITAL,2023-01-01,2023-12-31,39
223032,REHAB HOSPITAL OF CAPE & ISLANDS,2022-10-01,2023-09-30,60
224022,BOURNEWOOD HOSPITAL,2023-01-01,2023-12-31,102
330101,NEW YORK PRESBYTERIAN HOSPITAL,2023-01-01,2023-12-31,2850
452079,KINDRED HOSPITAL EL PASO,2023-09-01,2024-08-31,72
454029,ASCENSION SETON SHOAL CREEK,2023-07-01,2024-06-30,54
454100,EL PASO PSYCHIATRIC CENTER,2023-09-01,2024-08-31,77
521303,THEDACARE MED CTR - WILD ROSE,2023-01-01,2023-12-31,25
181324,THE MEDICAL CENTER AT SCOTTSVILLE,2023-04-01,2024-03-31,25
192036,POST ACUTE MEDICAL OF HAMMOND,2023-01-01,2023-12-31,40
224045,HOSPITAL FOR BEHAVIORAL MEDICINE,2023-01-01,2023-12-31,120
264012,CENTERPOINTE HOSPITAL,2023-01-01,2023-12-31,104
364055,SOJOURN AT SENECA,2023-07-01,2024-06-19,24
100110,OSCEOLA REGIONAL MEDICAL CENTER,2023-01-01,2023-12-31,351
100206,MEMORIAL HOSPITAL OF TAMPA,2022-11-01,2023-10-31,284
100329,OVIEDO MEDICAL CENTER,2023-01-01,2023-12-31,58
154058,DOCTORS NEUROPSYCHIATRIC HOSPITAL,2023-01-01,2023-12-31,37
261319,MERCY HOSPITAL LINCOLN,2023-07-01,2024-06-30,25
330211,CLAXTON HEPBURN MEDICAL CENTER,2023-01-01,2023-12-31,38
44011,ARKANSAS STATE HOSPITAL,2023-07-01,2024-06-30,230
61306,LINCOLN COMMUNITY HOSPITAL,2023-01-01,2023-12-31,15
100023,HCA FLORIDA CITRUS HOSPITAL,2022-11-01,2023-10-31,204
100259,HCA FLORIDA SOUTH SHORE HOSPITAL,2023-09-01,2024-08-31,138
144041,SILVER OAKS BEHAVIORAL HOSPITAL,2023-01-01,2023-12-31,112
200018,THE AROOSTOOK MEDICAL CENTER,2022-10-01,2023-09-30,44
261305,PUTNAM COUNTY MEMORIAL HOSPITAL,2023-07-01,2024-06-30,15
321313,REHOBOTH MCKINLEY CHRISTIAN HOSPITAL,2023-08-03,2023-12-31,25
452068,KPC PROMISE HOSPITAL OF WICHITA FALL,2023-09-01,2024-07-31,31
520160,THEDACARE REGIONAL MEDICAL CENTER AP,2023-01-01,2023-12-31,147
60032,ROSE MEDICAL CENTER,2023-01-01,2023-12-31,231
60065,NORTH SUBURBAN MEDICAL CENTER,2023-01-01,2023-12-31,139
100213,HCA FL BLAKE HOSPITAL,2023-05-01,2024-04-30,355
100254,HCA FLORIDA CAPITAL HOSPITAL,2023-05-01,2024-04-30,256
330055,NEWYORK-PRESBYTERIAN/QUEENS,2023-01-01,2023-12-31,476
390226,PENNSYLVANIA HOSPITAL OF UPHS,2023-07-01,2024-06-30,420
410007,RHODE ISLAND HOSPITAL,2022-10-01,2023-09-30,650
450035,ST JOSEPH MEDICAL CENTER,2022-11-01,2023-10-31,156
100260,HCA FLORIDA ST. LUCIE HOSPITAL,2022-10-01,2023-09-30,222
531306,WASHAKIE MEDICAL CENTER,2023-01-01,2023-12-31,18
40153,WADLEY MEDICAL CENTER AT HOPE,2022-10-01,2023-09-30,36
50191,ST. MARY MEDICAL CENTER,2023-07-01,2024-06-30,273
100269,HCA FLORIDA PALMS WEST HOSPITAL,2023-06-01,2024-05-31,206
154068,MEDICAL BEHAVIORAL HOSPITAL OF INDIA,2023-01-01,2023-12-31,64
450200,WADLEY REGIONAL MEDICAL CENTER,2023-01-01,2023-12-31,185
50125,REGIONAL MEDICAL CENTER OF SAN JOSE,2023-01-01,2023-12-31,252
100080,HCA FLORIDA JFK HOSPITAL,2023-07-01,2024-06-30,642
